Model,Accuracy,Precision,Recall,F1-Score
Baseline CNN,0.821946458449526,0.8393637738846028,0.821946458449526,0.8232033840233346
Custom CNN,0.9755995538204127,0.9770973768468927,0.9755995538204127,0.9752902772407231
Transfer Learning,0.9301450083658672,0.9340904078170724,0.9301450083658672,0.9299976304911994
